model_name,model_label,subset,target,n,rmse,mae,r2,normalized_rmse
polynomial_ridge,Polynomial ridge,train_global,log_energy,1366,0.0025059139089615365,0.0017280858585422855,0.9996757118149133,0.004306645079491843
kernel_ridge_rbf,RBF kernel ridge,test_global,recovery,342,0.001050367802131986,0.0007258481172440209,0.9999667106475427,0.001447349670332357
kernel_ridge_rbf,RBF kernel ridge,test_global,purity,342,0.0002449950609004418,0.0001634097232344655,0.9999769559391738,0.0009876047617345676
kernel_ridge_rbf,RBF kernel ridge,test_global,productivity_mol_h_kg,342,0.00043343865210170924,0.00030582760673702927,0.9999778135521717,0.0009601327835642876
kernel_ridge_rbf,RBF kernel ridge,test_global,energy_kJ_kgCO2,342,22.55442404762577,10.439902954239393,0.9982886047553575,0.008905487841618863
kernel_ridge_rbf,RBF kernel ridge,test_global,log_energy,342,0.0038799261276989665,0.0025031448610818314,0.9991759891705255,0.0068170408988609855
kernel_ridge_rbf,RBF kernel ridge,test_purity_recovery_near,recovery,31,0.0016289141931054433,0.0010474398192361104,0.9998992925929692,0.003138998708499812
kernel_ridge_rbf,RBF kernel ridge,test_purity_recovery_near,purity,31,0.0004001021415315471,0.00025296839961462135,0.9999722244877696,0.0016128601887093852
kernel_ridge_rbf,RBF kernel ridge,test_purity_recovery_near,productivity_mol_h_kg,31,0.0006802039845475,0.0004876565760975257,0.9999143997309013,0.0021528816986646675
kernel_ridge_rbf,RBF kernel ridge,test_purity_recovery_near,energy_kJ_kgCO2,31,7.550578157133749,5.727417389105716,0.9996691312408248,0.0056433250680301365
kernel_ridge_rbf,RBF kernel ridge,test_purity_recovery_near,log_energy,31,0.0023186742946674104,0.0017412977587295075,0.999587932929045,0.006379786486444977
kernel_ridge_rbf,RBF kernel ridge,test_productivity_energy_near,recovery,6,0.003094673277306085,0.0026186215500944576,0.6817487141005438,0.18661396284573556
kernel_ridge_rbf,RBF kernel ridge,test_productivity_energy_near,purity,6,0.0002530499433700238,0.0002041309155372817,0.9998237096045621,0.005258294275243018
kernel_ridge_rbf,RBF kernel ridge,test_productivity_energy_near,productivity_mol_h_kg,6,0.0010696429445743692,0.0009205506826196012,0.9988769935848612,0.010439129946474958
kernel_ridge_rbf,RBF kernel ridge,test_productivity_energy_near,energy_kJ_kgCO2,6,7.195223113682735,5.757468769106708,0.9868083846960187,0.044494138381636184
kernel_ridge_rbf,RBF kernel ridge,test_productivity_energy_near,log_energy,6,0.0028578973596932265,0.0022784160614404136,0.9866215896029954,0.04493834899671464
kernel_ridge_rbf,RBF kernel ridge,test_pareto_focus,recovery,32,0.0016237861359758429,0.0010602037231464915,0.999899830801817,0.0031291166872275673
kernel_ridge_rbf,RBF kernel ridge,test_pareto_focus,purity,32,0.00039503143383363894,0.00025057069988971767,0.9999732695967071,0.0015924195518679215
kernel_ridge_rbf,RBF kernel ridge,test_pareto_focus,productivity_mol_h_kg,32,0.0006716644343565965,0.00048196050336133354,0.9999143352097823,0.00212585356925279
kernel_ridge_rbf,RBF kernel ridge,test_pareto_focus,energy_kJ_kgCO2,32,7.525952125248054,5.758370543796438,0.9996672398224007,0.005624919496936835
kernel_ridge_rbf,RBF kernel ridge,test_pareto_focus,log_energy,32,0.002327544841749802,0.0017677413276462467,0.9995805020846333,0.0064041936213900495
kernel_ridge_rbf,RBF kernel ridge,train_global,recovery,1366,0.0008836189002955137,0.0006057593168336379,0.9999772075586079,0.001167120716748205
