sample_id,status,FAD_m3_h,FRP_m3_h,FVU_m3_h,TRP_s,TED_s,TPR_s,recovery,purity,productivity_mol_h_kg,energy_kJ_kgCO2
1432,success,0.931581598,0.372868823,1.329719521,48.40413371,13.01834561,18.28135435,0.639652794,0.78147062,0.417301841,986.6938483
1433,success,0.938642826,0.563066489,1.999989169,52.73124019,5.974549969,24.9101598,0.753585479,0.857253789,0.451296185,1206.84548
1434,success,0.66364057,0.444338749,1.148651075,39.40506183,10.61938021,15.97115109,0.621411454,0.749687198,0.284064174,1144.6928
1435,success,0.857382211,0.849045182,1.975500639,53.70152459,9.399387764,16.15935708,0.250441969,0.918193877,0.155345486,3487.664759
1436,success,0.803612944,0.484244702,1.880723307,36.19792864,6.627093061,16.02396706,0.794142871,0.753775698,0.422027857,1161.721729
1437,success,0.944801211,0.424114255,1.394683298,46.07279856,10.87684902,23.57364599,0.690900256,0.789166417,0.419529275,998.2740582
1438,success,0.79772254,0.392643787,1.837794123,43.15771499,7.969329077,21.97904532,0.876507693,0.740276235,0.444366891,1034.495421
1439,success,0.7815306,0.36648227,1.22207371,47.27602316,10.55499452,17.49969291,0.687882236,0.758525689,0.375047106,978.159004
1440,success,0.727127479,0.396634862,1.179569981,49.84265083,8.965182912,17.55554995,0.662187217,0.778417161,0.336959988,1051.139261
1441,success,0.737055043,0.704243674,1.957424252,44.63051586,12.76507705,19.7823235,0.608515556,0.869363378,0.303105677,1586.341546
1442,success,0.860690542,0.593009777,1.957844739,51.03840777,5.539531637,18.12444017,0.683561659,0.861811136,0.404924805,1337.590203
1443,success,0.889848154,0.433783101,1.51533985,35.60602838,10.46156201,24.27577366,0.796654384,0.730975906,0.421886068,977.5960781
1444,success,0.720419531,0.763939537,1.533741683,53.74116791,6.189736808,19.74286833,0.311348412,0.900092118,0.153322026,2831.133214
1445,success,0.695689644,0.686707738,1.145565127,35.49536899,8.628882009,21.99989163,0.421616714,0.811910063,0.17786382,1823.901481
1446,success,0.770202454,0.633565811,1.726687704,42.74947907,8.402317317,18.70475734,0.635724876,0.841244495,0.325810295,1417.521204
1447,success,0.986951114,0.650743383,1.424527485,51.81643339,9.94329176,20.60922416,0.3374134,0.877211535,0.226901184,1984.400512
1448,success,0.82678611,0.577169406,1.846305479,36.12275792,6.259804086,21.54953007,0.78798711,0.782847915,0.392480009,1228.540989
1449,success,0.600857436,0.673712554,1.388058413,38.30388656,11.05345425,21.59312636,0.582955133,0.823421073,0.221431821,1589.167267
1450,success,0.544442806,0.622950996,1.699768293,46.67284474,14.84316282,15.69973161,0.621907661,0.852013481,0.245130553,1615.747765
1451,success,0.528238863,0.555182076,1.035538734,36.18637618,14.06407947,22.6588722,0.585687463,0.766274784,0.193771612,1361.201263
1452,success,0.748593987,0.725830376,1.983167233,53.32009847,5.900248993,22.98791251,0.620238638,0.891903515,0.303946826,1709.06409
1453,success,0.742160943,0.552039764,1.549700938,45.40667622,9.70720703,16.86790399,0.621886396,0.8287624,0.321132681,1318.443253
1454,success,0.946904322,0.70942702,1.719655978,48.20436806,14.18851186,19.87521572,0.390183844,0.885536701,0.254633732,1894.79909
1455,success,0.699349149,0.650092626,1.578831504,37.15584953,5.361911414,19.93198536,0.680019368,0.808580805,0.294233424,1443.874805
1456,success,0.785244761,0.566984913,1.017181141,44.38895794,5.114326705,21.43933106,0.393629275,0.815625344,0.196000069,1687.11318
1457,success,0.606153118,0.378936803,1.879656297,36.01940217,12.15998026,15.56068322,0.878676196,0.681891851,0.365844806,1121.885217
1458,success,0.526614188,0.746065628,1.752895989,45.57910537,6.457660356,24.29514432,0.698308683,0.860415478,0.227814378,1873.600347
1459,success,0.613884832,0.74329524,1.545530157,43.35085593,10.4987774,21.04369326,0.500999495,0.865260755,0.200955911,1950.794871
1460,success,0.838411971,0.400593323,1.949048256,38.04989708,5.073346039,19.70417986,0.879428953,0.713285728,0.459893599,1077.04533
1461,success,0.843329551,0.398518403,1.21659949,44.11609308,14.05709954,17.87243615,0.602978189,0.768423454,0.353496023,1038.878951
1462,success,0.901739578,0.594964366,1.436624609,42.45050324,13.66946733,22.27844299,0.517264612,0.834743069,0.303417779,1358.056435
1463,success,0.82818549,0.746870201,1.522107587,39.56952999,6.360314761,17.80721364,0.410912482,0.855676429,0.222852176,1981.440513
1464,success,0.702936161,0.459092673,1.253894907,41.48593654,7.782975994,16.78762036,0.663322365,0.766640699,0.316034644,1143.904002
1465,success,0.722221156,0.474313443,1.875421994,36.75345374,14.1164633,16.47886721,0.785942286,0.760177329,0.389609105,1128.399871
1466,success,0.514031461,0.622318469,1.760114978,45.21708193,11.78509044,18.93333713,0.736214667,0.834959147,0.258153268,1569.635877
1467,success,0.754536225,0.772392938,1.942233441,47.38993317,11.11978259,21.89939601,0.531768707,0.88970015,0.265315463,1850.732115
1468,success,0.850935713,0.442103487,1.049047839,48.33799913,9.389706233,20.95179244,0.507551559,0.793841043,0.28796294,1201.74353
1469,success,0.624387967,0.488394819,1.706152581,39.26097241,7.105679586,19.53496696,0.841979929,0.748065364,0.336126601,1241.700426
1470,success,0.645190218,0.373942194,1.703667197,45.41411652,6.64949682,24.62634106,0.915708412,0.709526388,0.364483414,1105.20551
1471,success,0.926246884,0.799723201,1.706505856,44.19816065,12.84437431,20.65881339,0.338546751,0.887234819,0.209195645,2269.878701
1472,success,0.754296133,0.434134866,1.12666691,45.33357095,7.276423155,20.5940046,0.647148199,0.771993363,0.318798333,1083.401928
1473,success,0.718994441,0.556693083,1.804142168,42.09088224,11.83640285,15.02808063,0.681539314,0.819817552,0.348252227,1301.704472
1474,success,0.88464704,0.73685389,1.626380071,51.3159949,7.503182575,15.03015808,0.283250609,0.893849412,0.181363631,2681.675509
1475,success,0.548923056,0.703366432,1.65970808,51.20433068,7.786030339,16.87474499,0.521205453,0.880854656,0.202160533,2083.882549
1476,success,0.951572477,0.392324472,1.036466822,49.65017499,11.7721926,23.07861015,0.526372496,0.783103883,0.330854347,1079.952208
1477,success,0.564889806,0.38022929,1.17076108,50.87557523,9.575468698,18.24244922,0.770107791,0.758706592,0.303680707,1046.996286
1478,success,0.530812009,0.814585776,1.454777229,44.09589916,7.622052061,22.69083069,0.406876314,0.87628049,0.136413462,2712.851462
1479,success,0.974165145,0.366941152,1.906253242,50.88107703,6.324918245,17.58278194,0.815438727,0.785593464,0.552161344,982.2908334
